,gender,id,nobelPrizes,birth.date,birth.place.city.en,birth.place.city.no,birth.place.city.se,birth.place.cityNow.en,birth.place.cityNow.no,birth.place.cityNow.se,birth.place.continent.en,birth.place.country.en,birth.place.country.no,birth.place.country.se,birth.place.countryNow.en,birth.place.countryNow.no,birth.place.countryNow.se,birth.place.locationString.en,birth.place.locationString.no,birth.place.locationString.se,familyName.en,familyName.se,fullName.en,fullName.se,givenName.en,givenName.se,knownName.en,knownName.se,links.action,links.href,links.rel,links.types,death.date,death.place.city.en,death.place.city.no,death.place.city.se,death.place.cityNow.en,death.place.cityNow.no,death.place.cityNow.se,death.place.continent.en,death.place.country.en,death.place.country.no,death.place.country.se,death.place.countryNow.en,death.place.countryNow.no,death.place.countryNow.se,death.place.locationString.en,death.place.locationString.no,death.place.locationString.se,acronym,nativeName,founded.date,founded.place.city.en,founded.place.city.no,founded.place.city.se,founded.place.cityNow.en,founded.place.cityNow.no,founded.place.cityNow.se,founded.place.continent.en,founded.place.country.en,founded.place.country.no,founded.place.country.se,founded.place.countryNow.en,founded.place.countryNow.no,founded.place.countryNow.se,founded.place.locationString.en,founded.place.locationString.no,founded.place.locationString.se,orgName.en,orgName.se,penName,orgName.no,familyName.no,fullName.no,givenName.no,knownName.no
0,male,745,"[{'affiliations': [{'city': {'en': 'Stanford, CA', 'no': 'Stanford, CA', 'se': 'Stanford, CA'}, 'cityNow': {'en': 'Stanford, CA', 'no': 'Stanford, CA', 'se': 'Stanford, CA'}, 'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'locationString': {'en': 'Stanford, CA, USA', 'no': 'Stanford, CA, USA', 'se': 'Stanford, CA, USA'}, 'name': {'en': 'Stanford University', 'no': 'Stanford University', 'se': 'Stanford University'}, 'nameNow': {'en': 'Stanford University'}}], 'awardYear': '2001', 'category': {'en': 'Economic Sciences', 'no': 'Økonomi', 'se': 'Ekonomi'}, 'categoryFullName': {'en': 'The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel', 'no': 'Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel', 'se': 'Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne'}, 'dateAwarded': '2001-10-10', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2001', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for their analyses of markets with asymmetric information', 'se': 'för deras analys av marknader med assymetrisk informations'}, 'portion': '1/3', 'prizeAmount': 10000000, 'prizeAmountAdjusted': 12295082, 'prizeStatus': 'received', 'sortOrder': '2'}]",1943-00-00,"Montclair, NJ","Montclair, NJ","Montclair, NJ","Montclair, NJ","Montclair, NJ","Montclair, NJ",North America,USA,USA,USA,USA,USA,USA,"Montclair, NJ, USA","Montclair, NJ, USA","Montclair, NJ, USA",Spence,Spence,A. Michael Spence,A. Michael Spence,A. Michael,A. Michael,A. Michael Spence,A. Michael Spence,Get,http://masterdataapi.nobelprize.org/2/laureate/745,laureate,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,male,102,"[{'affiliations': [{'city': {'en': 'Copenhagen', 'no': 'København', 'se': 'Köpenhamn'}, 'cityNow': {'en': 'Copenhagen', 'no': 'København', 'se': 'Köpenhamn'}, 'country': {'en': 'Denmark', 'no': 'Danmark', 'se': 'Danmark'}, 'countryNow': {'en': 'Denmark', 'no': 'Danmark', 'se': 'Danmark'}, 'locationString': {'en': 'Copenhagen, Denmark', 'no': 'København, Danmark', 'se': 'Köpenhamn, Danmark'}, 'name': {'en': 'Niels Bohr Institute', 'no': 'Niels Bohr Institute', 'se': 'Niels Bohr Institute'}, 'nameNow': {'en': 'Niels Bohr Institute'}}], 'awardYear': '1975', 'category': {'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}, 'categoryFullName': {'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}, 'dateAwarded': '1975-10-17', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1975', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection', 'se': 'för upptäckten av sambandet mellan kollektiva rörelser och partikelrörelser i atomkärnor, samt den därpå baserade utvecklingen av teorien för atomkärnans struktur'}, 'portion': '1/3', 'prizeAmount': 630000, 'prizeAmountAdjusted': 3404179, 'prizeStatus': 'received', 'sortOrder': '1'}]",1922-06-19,Copenhagen,København,Köpenhamn,Copenhagen,København,Köpenhamn,Europe,Denmark,Danmark,Danmark,Denmark,Danmark,Danmark,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",Bohr,Bohr,Aage Niels Bohr,Aage Niels Bohr,Aage N.,Aage N.,Aage N. Bohr,Aage N. Bohr,Get,http://masterdataapi.nobelprize.org/2/laureate/102,laureate,application/json,2009-09-08,Copenhagen,København,Köpenhamn,Copenhagen,København,Köpenhamn,Europe,Denmark,Danmark,Danmark,Denmark,Danmark,Danmark,"Copenhagen, Denmark","København, Danmark","Köpenhamn, Danmark",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,male,779,"[{'affiliations': [{'city': {'en': 'Haifa', 'no': 'Haifa', 'se': 'Haifa'}, 'cityNow': {'en': 'Haifa', 'no': 'Haifa', 'se': 'Haifa'}, 'country': {'en': 'Israel', 'no': 'Israel', 'se': 'Israel'}, 'countryNow': {'en': 'Israel', 'no': 'Israel', 'se': 'Israel'}, 'locationString': {'en': 'Haifa, Israel', 'no': 'Haifa, Israel', 'se': 'Haifa, Israel'}, 'name': {'en': 'Technion - Israel Institute of Technology', 'no': 'Technion - Israel Institute of Technology', 'se': 'Technion - Israel Institute of Technology'}, 'nameNow': {'en': 'Technion - Israel Institute of Technology'}}], 'awardYear': '2004', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'dateAwarded': '2004-10-06', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/2004', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for the discovery of ubiquitin-mediated protein degradation', 'se': 'för upptäckten av ubiquitinmedierad proteinnedbrytning'}, 'portion': '1/3', 'prizeAmount': 10000000, 'prizeAmountAdjusted': 11762861, 'prizeStatus': 'received', 'sortOrder': '1'}]",1947-10-01,Haifa,Haifa,Haifa,Haifa,Haifa,Haifa,Asia,British Protectorate of Palestine,British i Palestina,British Protectorate of Palestine,Israel,Israel,Israel,"Haifa, British Protectorate of Palestine (now Israel)","Haifa, British i Palestina (nå Israel)","Haifa, British Protectorate of Palestine (nu Israel)",Ciechanover,Ciechanover,Aaron Ciechanover,Aaron Ciechanover,Aaron,Aaron,Aaron Ciechanover,Aaron Ciechanover,Get,http://masterdataapi.nobelprize.org/2/laureate/779,laureate,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,male,259,"[{'affiliations': [{'city': {'en': 'Cambridge', 'no': 'Cambridge', 'se': 'Cambridge'}, 'cityNow': {'en': 'Cambridge', 'no': 'Cambridge', 'se': 'Cambridge'}, 'country': {'en': 'United Kingdom', 'no': 'Storbritannia', 'se': 'Storbritannien'}, 'countryNow': {'en': 'United Kingdom', 'no': 'Storbritannia', 'se': 'Storbritannien'}, 'locationString': {'en': 'Cambridge, United Kingdom', 'no': 'Cambridge, Storbritannia', 'se': 'Cambridge, Storbritannien'}, 'name': {'en': 'MRC Laboratory of Molecular Biology', 'no': 'MRC Laboratory of Molecular Biology', 'se': 'MRC Laboratory of Molecular Biology'}, 'nameNow': {'en': 'MRC Laboratory of Molecular Biology'}}], 'awardYear': '1982', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'dateAwarded': '1982-10-18', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/1982', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes', 'se': 'för hans utveckling av kristallografisk elektronmikroskopi och hans klarläggande av strukturen hos biologiskt viktiga nukleinsyra-proteinkomplex'}, 'portion': '1', 'prizeAmount': 1150000, 'prizeAmountAdjusted': 3102518, 'prizeStatus': 'received', 'sortOrder': '1'}]",1926-08-11,Zelvas,Zelvas,Zelvas,Zelvas,Zelvas,Zelvas,Europe,Lithuania,Litauen,Litauen,Lithuania,Litauen,Litauen,"Zelvas, Lithuania","Zelvas, Litauen","Zelvas, Litauen",Klug,Klug,Aaron Klug,Aaron Klug,Aaron,Aaron,Aaron Klug,Aaron Klug,Get,http://masterdataapi.nobelprize.org/2/laureate/259,laureate,application/json,2018-11-20,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,male,114,"[{'affiliations': [{'city': {'en': 'Trieste', 'no': 'Trieste', 'se': 'Trieste'}, 'cityNow': {'en': 'Trieste', 'no': 'Trieste', 'se': 'Trieste'}, 'country': {'en': 'Italy', 'no': 'Italia', 'se': 'Italien'}, 'countryNow': {'en': 'Italy', 'no': 'Italia', 'se': 'Italien'}, 'locationString': {'en': 'Trieste, Italy', 'no': 'Trieste, Italia', 'se': 'Trieste, Italien'}, 'name': {'en': 'International Centre for Theoretical Physics', 'no': 'International Centre for Theoretical Physics', 'se': 'International Centre for Theoretical Physics'}, 'nameNow': {'en': 'International Centre for Theoretical Physics'}}, {'city': {'en': 'London', 'no': 'London', 'se': 'London'}, 'cityNow': {'en': 'London', 'no': 'London', 'se': 'London'}, 'country': {'en': 'United Kingdom', 'no': 'Storbritannia', 'se': 'Storbritannien'}, 'countryNow': {'en': 'United Kingdom', 'no': 'Storbritannia', 'se': 'Storbritannien'}, 'locationString': {'en': 'London, United Kingdom', 'no': 'London, Storbritannia', 'se': 'London, Storbritannien'}, 'name': {'en': 'Imperial College', 'no': 'Imperial College', 'se': 'Imperial College'}, 'nameNow': {'en': 'Imperial College'}}], 'awardYear': '1979', 'category': {'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}, 'categoryFullName': {'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}, 'dateAwarded': '1979-10-15', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1979', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current', 'se': 'för deras insatser inom teorin för förenad svag och elektromagnetisk växelverkan mellan elementar partiklar, innefattande bl.a. förutsägelsen av den svaga neutrala strömmen'}, 'portion': '1/3', 'prizeAmount': 800000, 'prizeAmountAdjusted': 2988048, 'prizeStatus': 'received', 'sortOrder': '2'}]",1926-01-29,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,Jhang Maghiāna,Asia,India,India,Indien,Pakistan,Pakistan,Pakistan,"Jhang Maghiāna, India (now Pakistan)","Jhang Maghiāna, India (nå Pakistan)","Jhang Maghiāna, Indien (nu Pakistan)",Salam,Salam,Abdus Salam,Abdus Salam,Abdus,Abdus,Abdus Salam,Abdus Salam,Get,http://masterdataapi.nobelprize.org/2/laureate/114,laureate,application/json,1996-11-21,Oxford,Oxford,Oxford,Oxford,Oxford,Oxford,Europe,United Kingdom,Storbritannia,Storbritannien,United Kingdom,Storbritannia,Storbritannien,"Oxford, United Kingdom","Oxford, Storbritannia","Oxford, Storbritannien",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,male,982,"[{'affiliations': [{'city': {'en': 'Cambridge, MA', 'no': 'Cambridge, MA', 'se': 'Cambridge, MA'}, 'cityNow': {'en': 'Cambridge, MA', 'no': 'Cambridge, MA', 'se': 'Cambridge, MA'}, 'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'locationString': {'en': 'Cambridge, MA, USA', 'no': 'Cambridge, MA, USA', 'se': 'Cambridge, MA, USA'}, 'name': {'en': 'Massachusetts Institute of Technology (MIT)', 'no': 'Massachusetts Institute of Technology (MIT)', 'se': 'Massachusetts Institute of Technology (MIT)'}, 'nameNow': {'en': 'Massachusetts Institute of Technology (MIT)'}}], 'awardYear': '2019', 'category': {'en': 'Economic Sciences', 'no': 'Økonomi', 'se': 'Ekonomi'}, 'categoryFullName': {'en': 'The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel', 'no': 'Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel', 'se': 'Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne'}, 'dateAwarded': '2019-10-14', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2019', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for their experimental approach to alleviating global poverty', 'se': 'för deras experimentella ansats för att mildra global fattigdom'}, 'portion': '1/3', 'prizeAmount': 9000000, 'prizeAmountAdjusted': 9000000, 'prizeStatus': 'received', 'sortOrder': '1'}]",1961-02-21,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Asia,India,India,Indien,India,India,Indien,"Mumbai, India","Mumbai, India","Mumbai, Indien",Banerjee,Banerjee,Abhijit Banerjee,Abhijit Banerjee,Abhijit,Abhijit,Abhijit Banerjee,Abhijit Banerjee,Get,http://masterdataapi.nobelprize.org/2/laureate/982,laureate,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,male,981,"[{'awardYear': '2019', 'category': {'en': 'Peace', 'no': 'Fred', 'se': 'Fred'}, 'categoryFullName': {'en': 'The Nobel Peace Prize', 'no': 'Nobels fredspris', 'se': 'Nobels fredspris'}, 'dateAwarded': '2019-10-11', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2019', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea', 'no': 'for hans innsats for fred og mellomstatlig samarbeid, og da særlig for hans avgjørande initiativ for å løsa grensekonflikten med nabolandet Eritrea'}, 'portion': '1', 'prizeAmount': 9000000, 'prizeAmountAdjusted': 9000000, 'prizeStatus': 'received', 'sortOrder': '1'}]",1976-08-15,Beshasha,Beshasha,Beshasha,Beshasha,Beshasha,Beshasha,Africa,Ethiopia,Etiopia,Etiopien,Ethiopia,Etiopia,Etiopien,"Beshasha, Ethiopia","Beshasha, Etiopia","Beshasha, Etiopien",Ahmed Ali,Ahmed Ali,Abiy Ahmed Ali,Abiy Ahmed Ali,Abiy,Abiy,Abiy Ahmed Ali,Abiy Ahmed Ali,Get,http://masterdataapi.nobelprize.org/2/laureate/981,laureate,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,female,843,"[{'affiliations': [{'city': {'en': 'Rehovot', 'no': 'Rehovot', 'se': 'Rehovot'}, 'cityNow': {'en': 'Rehovot', 'no': 'Rehovot', 'se': 'Rehovot'}, 'country': {'en': 'Israel', 'no': 'Israel', 'se': 'Israel'}, 'countryNow': {'en': 'Israel', 'no': 'Israel', 'se': 'Israel'}, 'locationString': {'en': 'Rehovot, Israel', 'no': 'Rehovot, Israel', 'se': 'Rehovot, Israel'}, 'name': {'en': 'Weizmann Institute of Science', 'no': 'Weizmann Institute of Science', 'se': 'Weizmann Institute of Science'}, 'nameNow': {'en': 'Weizmann Institute of Science'}}], 'awardYear': '2009', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'dateAwarded': '2009-10-07', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/2009', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for studies of the structure and function of the ribosome', 'se': 'för studier av ribosomens struktur och funktion'}, 'portion': '1/3', 'prizeAmount': 10000000, 'prizeAmountAdjusted': 10958504, 'prizeStatus': 'received', 'sortOrder': '3'}]",1939-06-22,Jerusalem,Jerusalem,Jerusalem,Jerusalem,Jerusalem,Jerusalem,Asia,British Mandate of Palestine,Palestinamandatet,Brittiska Palestinamandatet,Israel,Israel,Israel,"Jerusalem, British Mandate of Palestine (now Israel)","Jerusalem, Palestinamandatet (nå Israel)","Jerusalem, Brittiska Palestinamandatet (nu Israel)",Yonath,Yonath,Ada E. Yonath,Ada E. Yonath,Ada E.,Ada E.,Ada E. Yonath,Ada E. Yonath,Get,http://masterdataapi.nobelprize.org/2/laureate/843,laureate,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,male,866,"[{'affiliations': [{'city': {'en': 'Baltimore, MD', 'no': 'Baltimore, MD', 'se': 'Baltimore, MD'}, 'cityNow': {'en': 'Baltimore, MD', 'no': 'Baltimore, MD', 'se': 'Baltimore, MD'}, 'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'locationString': {'en': 'Baltimore, MD, USA', 'no': 'Baltimore, MD, USA', 'se': 'Baltimore, MD, USA'}, 'name': {'en': 'Johns Hopkins University', 'no': 'Johns Hopkins University', 'se': 'Johns Hopkins University'}, 'nameNow': {'en': 'Johns Hopkins University'}}, {'city': {'en': 'Baltimore, MD', 'no': 'Baltimore, MD', 'se': 'Baltimore, MD'}, 'cityNow': {'en': 'Baltimore, MD', 'no': 'Baltimore, MD', 'se': 'Baltimore, MD'}, 'country': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'countryNow': {'en': 'USA', 'no': 'USA', 'se': 'USA'}, 'locationString': {'en': 'Baltimore, MD, USA', 'no': 'Baltimore, MD, USA', 'se': 'Baltimore, MD, USA'}, 'name': {'en': 'Space Telescope Science Institute', 'no': 'Space Telescope Science Institute', 'se': 'Space Telescope Science Institute'}, 'nameNow': {'en': 'Space Telescope Science Institute'}}], 'awardYear': '2011', 'category': {'en': 'Physics', 'no': 'Fysikk', 'se': 'Fysik'}, 'categoryFullName': {'en': 'The Nobel Prize in Physics', 'no': 'Nobelprisen i fysikk', 'se': 'Nobelpriset i fysik'}, 'dateAwarded': '2011-10-04', 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2011', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for the discovery of the accelerating expansion of the Universe through observations of distant supernovae', 'se': 'för upptäckten av universums accelererande expansion genom observationer av avlägsna supernovor'}, 'portion': '1/4', 'prizeAmount': 10000000, 'prizeAmountAdjusted': 10545557, 'prizeStatus': 'received', 'sortOrder': '3'}]",1969-12-16,"Washington, DC","Washington, DC","Washington, DC","Washington, DC","Washington, DC","Washington, DC",North America,USA,USA,USA,USA,USA,USA,"Washington, DC, USA","Washington, DC, USA","Washington, DC, USA",Riess,Riess,Adam G. Riess,Adam G. Riess,Adam G.,Adam G.,Adam G. Riess,Adam G. Riess,Get,http://masterdataapi.nobelprize.org/2/laureate/866,laureate,application/json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,male,199,"[{'affiliations': [{'city': {'en': 'Berlin-Dahlem', 'no': 'Berlin-Dahlem', 'se': 'Berlin-Dahlem'}, 'cityNow': {'en': 'Berlin-Dahlem', 'no': 'Berlin-Dahlem', 'se': 'Berlin-Dahlem'}, 'country': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'countryNow': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'locationString': {'en': 'Berlin-Dahlem, Germany', 'no': 'Berlin-Dahlem, Tyskland', 'se': 'Berlin-Dahlem, Tyskland'}, 'name': {'en': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie', 'no': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie', 'se': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie'}, 'nameNow': {'en': 'Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie'}}, {'city': {'en': 'Berlin', 'no': 'Berlin', 'se': 'Berlin'}, 'cityNow': {'en': 'Berlin', 'no': 'Berlin', 'se': 'Berlin'}, 'country': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'countryNow': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'locationString': {'en': 'Berlin, Germany', 'no': 'Berlin, Tyskland', 'se': 'Berlin, Tyskland'}, 'name': {'en': 'Berlin University', 'no': 'Berlin University', 'se': 'Berlin University'}, 'nameNow': {'en': 'Berlin University'}}], 'awardYear': '1939', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/1939', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for his work on sex hormones', 'se': 'för hans arbeten över sexualhormoner'}, 'portion': '1/2', 'prizeAmount': 148822, 'prizeAmountAdjusted': 4227898, 'prizeStatus': 'received', 'sortOrder': '1'}]",1903-03-24,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Bremerhaven-Lehe,Europe,Germany,Tyskland,Tyskland,Germany,Tyskland,Tyskland,"Bremerhaven-Lehe, Germany","Bremerhaven-Lehe, Tyskland","Bremerhaven-Lehe, Tyskland",Butenandt,Butenandt,Adolf Friedrich Johann Butenandt,Adolf Friedrich Johann Butenandt,Adolf,Adolf,Adolf Butenandt,Adolf Butenandt,Get,http://masterdataapi.nobelprize.org/2/laureate/199,laureate,application/json,1995-01-18,Munich,München,München,Munich,München,München,Europe,Germany,Tyskland,Tyskland,Germany,Tyskland,Tyskland,"Munich, Germany","München, Tyskland","München, Tyskland",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,male,164,"[{'affiliations': [{'city': {'en': 'Munich', 'no': 'München', 'se': 'München'}, 'cityNow': {'en': 'Munich', 'no': 'München', 'se': 'München'}, 'country': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'countryNow': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'locationString': {'en': 'Munich, Germany', 'no': 'München, Tyskland', 'se': 'München, Tyskland'}, 'name': {'en': 'Munich University', 'no': 'Munich University', 'se': 'Munich University'}, 'nameNow': {'en': 'Munich University'}}], 'awardYear': '1905', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/1905', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds', 'se': 'såsom ett erkännande av den förtjänst han inlagt om den organiska kemiens och den kemiska industriens utveckling genom sina arbeten rörande organiska färgämnen och hydroaromatiska föreningar'}, 'portion': '1', 'prizeAmount': 138089, 'prizeAmountAdjusted': 7615202, 'prizeStatus': 'received', 'sortOrder': '1'}]",1835-10-31,Berlin,Berlin,Berlin,Berlin,Berlin,Berlin,Europe,Prussia,Preussen,Preussen,Germany,Tyskland,Tyskland,"Berlin, Prussia (now Germany)","Berlin, Preussen (nå Tyskland)","Berlin, Preussen (nu Tyskland)",von Baeyer,von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,Adolf,Adolf,Adolf von Baeyer,Adolf von Baeyer,Get,http://masterdataapi.nobelprize.org/2/laureate/164,laureate,application/json,1917-08-20,Starnberg,Starnberg,Starnberg,Starnberg,Starnberg,Starnberg,Europe,Germany,Tyskland,Tyskland,Germany,Tyskland,Tyskland,"Starnberg, Germany","Starnberg, Tyskland","Starnberg, Tyskland",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,male,185,"[{'affiliations': [{'city': {'en': 'Göttingen', 'no': 'Göttingen', 'se': 'Göttingen'}, 'cityNow': {'en': 'Göttingen', 'no': 'Göttingen', 'se': 'Göttingen'}, 'country': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'countryNow': {'en': 'Germany', 'no': 'Tyskland', 'se': 'Tyskland'}, 'locationString': {'en': 'Göttingen, Germany', 'no': 'Göttingen, Tyskland', 'se': 'Göttingen, Tyskland'}, 'name': {'en': 'Goettingen University', 'no': 'Goettingen University', 'se': 'Goettingen University'}, 'nameNow': {'en': 'Goettingen University'}}], 'awardYear': '1928', 'category': {'en': 'Chemistry', 'no': 'Kjemi', 'se': 'Kemi'}, 'categoryFullName': {'en': 'The Nobel Prize in Chemistry', 'no': 'Nobelprisen i kjemi', 'se': 'Nobelpriset i kemi'}, 'links': {'action': 'Get', 'href': 'https://masterdataapi.nobelprize.org/2/nobelPrize/che/1928', 'rel': 'nobelPrize', 'types': 'application/json'}, 'motivation': {'en': 'for the services rendered through his research into the constitution of the sterols and their connection with the vitamins', 'se': 'för hans förtjänster om utforskandet av sterinernas konstitution och deras samband med vitamingruppen'}, 'portion': '1', 'prizeAmount': 156939, 'prizeAmountAdjusted': 4458494, 'prizeStatus': 'received', 'sortOrder': '1'}]",1876-12-25,Berlin,Berlin,Berlin,Berlin,Berlin,Berlin,Europe,Germany,Tyskland,Tyskland,Germany,Tyskland,Tyskland,"Berlin, Germany","Berlin, Tyskland","Berlin, Tyskland",Windaus,Windaus,Adolf Otto Reinhold Windaus,Adolf Otto Reinhold Windaus,Adolf,Adolf,Adolf Windaus,Adolf Windaus,Get,http://masterdataapi.nobelprize.org/2/laureate/185,laureate,application/json,1959-06-09,Göttingen,Göttingen,Göttingen,Göttingen,Göttingen,Göttingen,Europe,West Germany,Vest-Tyskland,Västtyskland,Germany,Tyskland,Tyskland,"Göttingen, West Germany (now Germany)","Göttingen, Vest-Tyskland (nå Tyskland)","Göttingen, Västtyskland (nu Tyskland)",,,,,,,,,,,,,,,,,,,,,,,,,,,
